dt,AverageTemperature,Country
1808-06-01,20.001,Turkey
1808-07-01,23.148000000000003,Turkey
1808-08-01,22.502,Turkey
1808-09-01,20.457,Turkey
1808-10-01,12.937000000000001,Turkey
1808-11-01,6.517,Turkey
1808-12-01,-0.7719999999999998,Turkey
1809-01-01,-2.186,Turkey
1809-02-01,1.022,Turkey
1809-03-01,2.103,Turkey
1809-04-01,9.312000000000001,Turkey
1809-05-01,12.953,Turkey
1809-06-01,19.835,Turkey
1809-07-01,20.977,Turkey
1809-08-01,22.032,Turkey
1809-09-01,18.192,Turkey
1809-10-01,12.818,Turkey
1809-11-01,4.641,Turkey
1809-12-01,2.006,Turkey
1810-01-01,-0.9380000000000002,Turkey
1810-02-01,2.536,Turkey
1810-03-01,6.604,Turkey
1810-04-01,9.041,Turkey
1810-05-01,13.396999999999998,Turkey
1810-06-01,17.844,Turkey
1810-07-01,21.168000000000006,Turkey
1810-08-01,21.144000000000002,Turkey
1810-09-01,16.868,Turkey
1810-10-01,10.242,Turkey
1810-11-01,5.3629999999999995,Turkey
1810-12-01,2.6830000000000003,Turkey
1811-01-01,-0.7909999999999999,Turkey
1811-02-01,-0.18299999999999986,Turkey
1811-03-01,4.976,Turkey
1811-04-01,7.725000000000001,Turkey
1811-05-01,13.732999999999999,Turkey
1811-06-01,18.896,Turkey
1811-07-01,21.116,Turkey
1811-08-01,23.222,Turkey
1811-09-01,17.368,Turkey
1811-10-01,12.159,Turkey
1811-11-01,5.6179999999999986,Turkey
1811-12-01,3.266,Turkey
1812-01-01,-1.3869999999999998,Turkey
1812-02-01,-1.0759999999999998,Turkey
1812-03-01,3.008,Turkey
1812-04-01,8.307,Turkey
1812-05-01,13.329,Turkey
1812-06-01,18.881,Turkey
1812-07-01,23.433000000000003,Turkey
1812-08-01,24.126,Turkey
1812-09-01,16.935,Turkey
1812-10-01,12.534,Turkey
1812-11-01,7.0509999999999975,Turkey
1812-12-01,-1.0500000000000005,Turkey
1813-01-01,-4.523,Turkey
1813-02-01,-0.375,Turkey
1813-03-01,1.804,Turkey
1813-04-01,9.847000000000001,Turkey
1813-05-01,16.259999999999998,Turkey
1813-06-01,18.915000000000006,Turkey
1813-07-01,21.678,Turkey
1813-08-01,21.408,Turkey
1813-09-01,18.493,Turkey
1813-10-01,13.099,Turkey
1813-11-01,9.927,Turkey
1813-12-01,2.546,Turkey
1814-01-01,1.759,Turkey
1814-02-01,0.11900000000000024,Turkey
1814-03-01,4.728,Turkey
1814-04-01,9.667000000000002,Turkey
1814-05-01,12.291,Turkey
